"subID","keyboard_condition","trial_type","trial_number","correct_num","response_num","response_rt","correct_space","response_space","probe_space","correct_width","response_width","probe_width","adjustment_duration","stim_length","exp_version","number_deviation","width_deviation","spacing_deviation","number_deviation_ratio","width_deviation_ration","spacing_deviation_ratio","response_stim_length","compression_rate","actual_pooled_width","response_pooled_width","pooled_width_deviation","actual_width_density","response_width_density","width_density_deviation","actual_edge_to_edge_spacing","response_edge_to_edge_spacing","edge_to_edge_spacing_deviation","width_deviation_relative","spacing_deviation_relative","corrected_width_deviation","corrected_width_deviation_relative","spacing"
"701","left_right_width","match",1,3,3,1.85455150017515,2.2,1.1,0.7,0.4,0.15,0.4,5.68301720009185,4.8,"exp1",0,-0.25,-1.1,0,0.375,0.5,2.35,0.489583333333333,1.2,0.45,-0.75,0.25,0.191489361702128,-0.0585106382978723,1.8,0.95,-0.85,-0.625,-0.5,NA,NA,"large"
"701","left_right_width","initial",2,5,4,1.39508930011652,0.7,0.9,0.9,0.25,0.2,0.2,2.12214220012538,3.05,"exp1",-1,-0.05,0.2,-0.2,0.8,1.28571428571429,2.9,0.950819672131148,1.25,0.8,-0.45,0.409836065573771,0.275862068965517,-0.133973996608253,0.45,0.7,0.25,-0.2,0.285714285714286,NA,NA,"small"
"701","left_right_width","initial",3,4,4,1.58033619984053,1.1,0.8,0.7,0.25,0.15,0.4,5.91621809988283,3.55,"exp1",0,-0.0999999999999999,-0.3,0,0.6,0.727272727272727,2.55,0.71830985915493,1,0.6,-0.4,0.28169014084507,0.235294117647059,-0.0463960231980114,0.85,0.65,-0.2,-0.4,-0.272727272727273,NA,NA,"large"
"701","left_right_width","initial",4,4,4,2.04115549987182,0.7,0.8,0.8,0.55,0.55,0.45,3.3341465999838,2.65,"exp1",0,0,0.1,0,1,1.14285714285714,2.95,1.11320754716981,2.2,2.2,0,0.830188679245283,0.745762711864407,-0.0844259673808764,0.15,0.25,0.1,0,0.142857142857143,NA,NA,"small"
"701","left_right_width","match",6,3,3,1.28388179978356,1.8,1.3,0.7,0.4,0.25,0.15,6.51104800007306,4,"exp1",0,-0.15,-0.5,0,0.625,0.722222222222222,2.85,0.7125,1.2,0.75,-0.45,0.3,0.263157894736842,-0.036842105263158,1.4,1.05,-0.35,-0.375,-0.277777777777778,NA,NA,"large"
"701","left_right_width","initial",7,4,4,2.17399320006371,1.1,1.7,0.8,0.4,0.2,0.3,4.96557080000639,3.7,"exp1",0,-0.2,0.6,0,0.5,1.54545454545455,5.3,1.43243243243243,1.6,0.8,-0.8,0.432432432432432,0.150943396226415,-0.281489036206017,0.7,1.5,0.8,-0.5,0.545454545454545,NA,NA,"large"
"701","left_right_width","initial",8,5,4,2.19425980001688,0.9,0.8,0.8,0.55,0.45,0.45,1.57770370016806,4.15,"exp1",-1,-0.1,-0.1,-0.2,0.818181818181818,0.888888888888889,2.85,0.686746987951807,2.75,1.8,-0.95,0.662650602409638,0.631578947368421,-0.0310716550412176,0.35,0.35,5.55111512312578e-17,-0.181818181818182,-0.111111111111111,NA,NA,"middle"
"701","left_right_width","match",9,3,3,1.10757280001417,1.8,1.2,0.8,0.55,0.35,0.45,5.4146538998466,4.15,"exp1",0,-0.2,-0.6,0,0.636363636363636,0.666666666666667,2.75,0.662650602409638,1.65,1.05,-0.6,0.397590361445783,0.381818181818182,-0.0157721796276013,1.25,0.85,-0.4,-0.363636363636364,-0.333333333333333,NA,NA,"large"
"701","left_right_width","match",10,3,4,1.87901440006681,2.2,1.1,0.7,0.25,0.15,0.45,5.75479330006056,4.65,"exp1",1,-0.0999999999999999,-1.1,0.333333333333333,0.6,0.5,3.45,0.741935483870968,0.75,0.6,-0.15,0.161290322580645,0.173913043478261,0.0126227208976158,1.95,0.95,-1,-0.4,-0.5,NA,NA,"large"
"701","left_right_width","initial",11,4,3,1.29782199999318,0.9,1.05,0.9,0.55,0.5,0.3,5.05264709983021,3.25,"exp1",-1,-0.0500000000000001,0.15,-0.25,0.909090909090909,1.16666666666667,2.6,0.8,2.2,1.5,-0.7,0.676923076923077,0.576923076923077,-0.1,0.35,0.55,0.2,-0.0909090909090911,0.166666666666667,NA,NA,"middle"
