"subID","keyboard_condition","trial_type","trial_number","correct_num","response_num","response_rt","correct_space","correct_width","response_width","probe_width","adjustment_duration","stim_length","exp_version","number_deviation","width_deviation","number_deviation_ratio","width_deviation_ratio","actual_pooled_width","response_pooled_width","pooled_width_deviation","width_deviation_relative","absolute_width_deviation"
"p301","up_down_width","match",1,4,3,2.14915799995651,0.733333333333333,0.55,0.45,0.3,3.61523940000916,2.75,"exp2",-1,-0.1,-0.25,0.818181818181818,2.2,1.35,-0.85,-0.181818181818182,0.1
"p301","up_down_width","match",2,3,3,1.48840730002848,1.8,0.25,0.25,0.45,2.38780639995821,3.85,"exp2",0,5.55111512312578e-17,0,1,0.75,0.75,2.22044604925031e-16,2.22044604925031e-16,5.55111512312578e-17
"p301","up_down_width","initial",3,5,5,2.11300000001211,0.9,0.55,0.4,0.4,3.16352380003082,4.15,"exp2",0,-0.15,0,0.727272727272727,2.75,2,-0.75,-0.272727272727273,0.15
"p301","up_down_width","initial",4,4,3,2.99029699998209,0.9,0.25,0.25,0.3,1.5578123999876,2.95,"exp2",-1,0,-0.25,1,1,0.75,-0.25,0,0
"p301","up_down_width","match",5,3,2,1.89649220003048,2.2,0.25,0.35,0.35,2.31535849999636,4.65,"exp2",-1,0.1,-0.333333333333333,1.4,0.75,0.7,-0.05,0.4,0.1
"p301","up_down_width","match",6,4,4,3.07389469997725,0.466666666666667,0.25,0.3,0.5,4.90125610004179,1.65,"exp2",0,0.05,0,1.2,1,1.2,0.2,0.2,0.05
"p301","up_down_width","initial",7,4,3,2.90102370001841,0.9,0.4,0.4,0.25,2.38410399999702,3.1,"exp2",-1,-5.55111512312578e-17,-0.25,1,1.6,1.2,-0.4,-1.38777878078145e-16,5.55111512312578e-17
"p301","up_down_width","match",8,5,4,2.75492540001869,0.825,0.25,0.3,0.25,2.94927100004861,3.55,"exp2",-1,0.05,-0.2,1.2,1.25,1.2,-0.05,0.2,0.05
"p301","up_down_width","initial",9,4,4,2.28473279997706,0.9,0.55,0.3,0.2,3.8228404999827,3.25,"exp2",0,-0.25,0,0.545454545454545,2.2,1.2,-1,-0.454545454545455,0.25
"p301","up_down_width","initial",10,5,4,1.9507142000366,1.1,0.25,0.2,0.3,1.91924370004563,4.65,"exp2",-1,-0.05,-0.2,0.8,1.25,0.8,-0.45,-0.2,0.05
"p301","up_down_width","match",11,5,4,5.63583980000112,0.675,0.4,0.3,0.5,2.04949910001596,3.1,"exp2",-1,-0.1,-0.2,0.75,2,1.2,-0.8,-0.25,0.1
"p301","up_down_width","match",12,4,4,1.20700450002914,0.6,0.4,0.3,0.4,1.55751519999467,2.2,"exp2",0,-0.1,0,0.75,1.6,1.2,-0.4,-0.25,0.1
"p301","up_down_width","match",13,3,3,1.37443440000061,2.2,0.55,0.5,0.55,2.66094289999455,4.95,"exp2",0,-0.05,0,0.909090909090909,1.65,1.5,-0.15,-0.090909090909091,0.05
"p301","up_down_width","match",14,4,3,2.41846070002066,0.783333333333333,0.25,0.3,0.3,4.8009475999861,2.6,"exp2",-1,0.05,-0.25,1.2,1,0.9,-0.1,0.2,0.05
"p301","up_down_width","initial",15,4,4,2.33460599998944,1.1,0.55,0.35,0.3,2.89553179999348,3.85,"exp2",0,-0.2,0,0.636363636363636,2.2,1.4,-0.8,-0.363636363636364,0.2
"p301","up_down_width","initial",16,3,2,1.4636593000032,0.7,0.25,0.3,0.45,1.91742320003686,1.65,"exp2",-1,0.05,-0.333333333333333,1.2,0.75,0.6,-0.15,0.2,0.05
"p301","up_down_width","match",17,3,2,1.42780860001221,1.475,0.25,0.15,0.55,5.83418439998059,3.2,"exp2",-1,-0.0999999999999999,-0.333333333333333,0.6,0.75,0.3,-0.45,-0.4,0.0999999999999999
"p301","up_down_width","initial",18,3,2,1.79049290000694,1.1,0.4,0.35,0.35,1.41327359998832,2.6,"exp2",-1,-0.05,-0.333333333333333,0.875,1.2,0.7,-0.5,-0.125,0.05
"p301","up_down_width","match",19,3,3,1.70987220003735,1.8,0.55,0.45,0.2,3.89629459998105,4.15,"exp2",0,-0.1,0,0.818181818181818,1.65,1.35,-0.3,-0.181818181818182,0.1
"p301","up_down_width","match",20,5,5,3.01336630003061,0.525,0.4,0.35,0.55,6.20445700001437,2.5,"exp2",0,-0.05,0,0.875,2,1.75,-0.25,-0.125,0.05
"p301","up_down_width","initial",21,3,2,1.90910700004315,1.1,0.55,0.4,0.5,2.96880159998545,2.75,"exp2",-1,-0.15,-0.333333333333333,0.727272727272727,1.65,0.8,-0.85,-0.272727272727273,0.15
"p301","up_down_width","match",22,4,3,2.40846700000111,0.6,0.55,0.5,0.3,3.17434899997897,2.35,"exp2",-1,-0.0500000000000001,-0.25,0.909090909090909,2.2,1.5,-0.7,-0.0909090909090911,0.0500000000000001
"p301","up_down_width","match",23,4,4,2.23214189999271,0.6,0.25,0.2,0.3,2.71839289995842,2.05,"exp2",0,-0.05,0,0.8,1,0.8,-0.2,-0.2,0.05
"p301","up_down_width","initial",24,4,5,2.50117640005192,0.7,0.25,0.2,0.2,1.67983560002176,2.35,"exp2",1,-0.05,0.25,0.8,1,1,0,-0.2,0.05
"p301","up_down_width","match",25,3,2,1.87594920000993,1.4,0.55,0.4,0.25,2.67972680000821,3.35,"exp2",-1,-0.15,-0.333333333333333,0.727272727272727,1.65,0.8,-0.85,-0.272727272727273,0.15
"p301","up_down_width","initial",26,3,2,1.52307549997931,0.9,0.55,0.4,0.2,4.2768161999993,2.35,"exp2",-1,-0.15,-0.333333333333333,0.727272727272727,1.65,0.8,-0.85,-0.272727272727273,0.15
"p301","up_down_width","initial",27,5,5,2.06094070000108,0.7,0.4,0.4,0.55,2.74646059999941,3.2,"exp2",0,0,0,1,2,2,0,0,0
"p301","up_down_width","match",28,5,5,1.77830900001572,0.525,0.25,0.25,0.45,2.31573400000343,2.35,"exp2",0,5.55111512312578e-17,0,1,1.25,1.25,2.22044604925031e-16,2.22044604925031e-16,5.55111512312578e-17
"p301","up_down_width","match",29,5,5,1.07364469999447,0.675,0.25,0.25,0.55,5.44551340001635,2.95,"exp2",0,5.55111512312578e-17,0,1,1.25,1.25,2.22044604925031e-16,2.22044604925031e-16,5.55111512312578e-17
"p301","up_down_width","match",30,3,2,2.67173900001217,1.8,0.4,0.4,0.45,1.82723319996148,4,"exp2",-1,0,-0.333333333333333,1,1.2,0.8,-0.4,0,0
"p301","up_down_width","initial",31,3,2,0.906929299992044,0.9,0.25,0.3,0.25,4.05380309995962,2.05,"exp2",-1,0.05,-0.333333333333333,1.2,0.75,0.6,-0.15,0.2,0.05
"p301","up_down_width","match",32,4,3,1.28062330000103,0.466666666666667,0.4,0.35,0.55,3.81993709999369,1.8,"exp2",-1,-0.05,-0.25,0.875,1.6,1.05,-0.55,-0.125,0.05
"p301","up_down_width","initial",33,5,4,1.99071769998409,1.1,0.55,0.45,0.25,2.74198320001597,4.95,"exp2",-1,-0.1,-0.2,0.818181818181818,2.75,1.8,-0.95,-0.181818181818182,0.1
"p301","up_down_width","initial",34,4,3,2.49721310002496,1.1,0.25,0.25,0.5,2.5406119999825,3.55,"exp2",-1,5.55111512312578e-17,-0.25,1,1,0.75,-0.25,2.22044604925031e-16,5.55111512312578e-17
"p301","up_down_width","initial",35,3,3,2.99165260000154,0.9,0.4,0.3,0.4,1.35094319999916,2.2,"exp2",0,-0.1,0,0.75,1.2,0.9,-0.3,-0.25,0.1
"p301","up_down_width","match",36,3,3,1.81843200000003,1.4,0.25,0.3,0.45,1.75977860001149,3.05,"exp2",0,0.05,0,1.2,0.75,0.9,0.15,0.2,0.05
"p301","up_down_width","initial",37,5,4,1.57959929999197,1.1,0.4,0.35,0.2,2.63434200000484,4.8,"exp2",-1,-0.05,-0.2,0.875,2,1.4,-0.6,-0.125,0.05
